bin,observations,mean_predicted_survival,observed_survival_rate
"(0.89, 0.953]",3125,0.9448084858789515,0.95616
"(0.953, 0.958]",3125,0.9559211458362828,0.95712
"(0.958, 0.961]",3124,0.9598735074027003,0.954865556978233
"(0.961, 0.963]",3125,0.9620154178139451,0.95968
"(0.963, 0.964]",3125,0.9635186407244241,0.96448
"(0.964, 0.966]",3124,0.9648706509656798,0.971190781049936
"(0.966, 0.967]",3125,0.9662658210769284,0.96384
"(0.967, 0.969]",3124,0.9678942678529796,0.9708706786171575
"(0.969, 0.972]",3125,0.9701398561057446,0.96928
"(0.972, 0.985]",3125,0.9747795380740004,0.97504
