scenario,horizon_years,fold,model,train_rows,train_failures,validation_rows,validation_failures,test_rows,test_failures,selected_c,validation_brier_uncalibrated,roc_auc,average_precision,brier_score,log_loss,spearman,calibration_intercept,calibration_slope,expected_calibration_error
null_alpha,3,1,financial_baseline_logit,5384,95,5064,92,6653,133,0.01,0.017845826265146744,0.5761093685133079,0.02984100050733816,0.019572182451690522,0.09751898662219459,0.0369029293191303,-0.2273228738254125,0.9184733998525081,0.00539680885936525
null_alpha,3,1,financial_plus_hypercube_logit,5384,95,5064,92,6653,133,0.01,0.01783821923994429,0.5627335209188615,0.025001650655355895,0.019578532107309702,0.0976643731831939,0.03041742079365882,-0.22527091724818332,0.9125291153768198,0.003825703129748684
null_alpha,3,2,financial_baseline_logit,9708,160,6082,117,7551,165,0.01,0.018867768093557998,0.593700612953253,0.03297751682882194,0.021341820268296192,0.10440357547724112,0.04745426074293119,3.346274968718679,1.828668682689607,0.005746573173935324
null_alpha,3,2,financial_plus_hypercube_logit,9708,160,6082,117,7551,165,0.01,0.01887595471169264,0.5608563293372392,0.032519015014969045,0.021354695656307588,0.10482111791235942,0.030820418663299456,-0.22618598298363998,0.9034108366230322,0.0053866121813286195
null_alpha,3,3,financial_baseline_logit,15233,270,7034,150,8405,218,0.1,0.020822286649017314,0.5676564883015477,0.033314354017522974,0.025243467392178212,0.12005464646664549,0.037252292333348876,-0.9823400481574706,0.6996364007873235,0.005262035824356659
null_alpha,3,3,financial_plus_hypercube_logit,15233,270,7034,150,8405,218,0.01,0.020893121347241948,0.5792473635199237,0.03395991957301349,0.025246170926617385,0.11992557226282947,0.043634336138369034,2.3128171192447566,1.560477698340591,0.004667207945676568
null_alpha,3,4,financial_baseline_logit,21684,396,7884,170,9180,183,0.01,0.02109321718678847,0.5527434463582579,0.025698136942769973,0.019527757463252977,0.0975841219652176,0.025538233503257835,-0.2519808014002683,0.9602066850335546,0.004535652774202805
null_alpha,3,4,financial_plus_hypercube_logit,21684,396,7884,170,9180,183,0.1,0.021091532889587157,0.5520777721292648,0.02615673050528535,0.01952810122652425,0.0976007032481213,0.025215915849199827,-0.25173530118133136,0.9597376832515632,0.004941083792826049
null_alpha,5,1,financial_baseline_logit,2729,88,4489,125,6526,226,0.01,0.027098468143879097,0.6108098047478578,0.058648350942047275,0.0333985041043107,0.14989851689849365,0.07018531325199633,8.423536148703567,3.3084412320188346,0.008643296110102098
null_alpha,5,1,financial_plus_hypercube_logit,2729,88,4489,125,6526,226,0.01,0.02710481385501124,0.5434604579294844,0.04020199534741231,0.033471222387729566,0.15126388748707914,0.027527219823163196,-0.235609874092624,0.8559189638458231,0.008265405009003754
null_alpha,5,2,financial_baseline_logit,6032,179,5578,186,7393,264,0.01,0.03231501114621035,0.5921205320139252,0.051260560442976014,0.03436130709816763,0.15298838153049046,0.059216485581249215,5.023109759413371,2.4893404110548714,0.0078000739780065545
null_alpha,5,2,financial_plus_hypercube_logit,6032,179,5578,186,7393,264,0.01,0.03230904915027907,0.5750269917579498,0.05025096062830488,0.03435251242053521,0.1529350337389691,0.048228496715233334,1.1380634772994245,1.315387663527417,0.006606503630364045
