scenario,horizon_years,fold,auc_improvement,average_precision_improvement,brier_improvement,log_loss_improvement
migration_alpha,3,1,0.008591754311500832,-0.001529543678121817,3.313510936783781e-06,6.811273602874701e-05
migration_alpha,3,2,-0.03494538177930684,-0.002899956265052156,-1.204175110996325e-05,-0.00045018645160116444
migration_alpha,3,3,0.0015123479595092748,9.417383851080541e-05,1.5050210733745517e-06,5.906354493626087e-05
migration_alpha,3,4,-0.00898066314889534,-0.0033423420318274832,-1.9595604296287344e-05,-0.000376264459906267
migration_alpha,5,1,0.0035631645126968925,0.0022304742237877068,4.1760959238447415e-05,0.0004758249427715411
migration_alpha,5,2,-0.021383418269699694,-0.007304137328642643,-5.9794445661523477e-05,-0.0007603989321962046
migration_alpha,5,3,0.0038523880417421497,-0.0029944924355893923,1.6016577766911344e-06,6.286679213143853e-05
migration_alpha,5,4,-0.009874524983572774,-0.005619178647542147,-6.502554895597423e-05,-0.0006299195037568206
null_alpha,3,1,-0.013375847594446322,-0.004839349851982266,-6.349655619179717e-06,-0.0001453865609993138
null_alpha,3,2,-0.03284428361601388,-0.00045850181385289485,-1.2875388011396316e-05,-0.0004175424351182955
null_alpha,3,3,0.011590875218375984,0.0006455655554905154,-2.7035344391732052e-06,0.00012907420381601253
null_alpha,3,4,-0.0006656742289931072,0.0004585935625153782,-3.437632712724459e-07,-1.6581282903702088e-05
null_alpha,5,1,-0.06734934681837346,-0.018446355594634964,-7.271828341886416e-05,-0.0013653705885854905
null_alpha,5,2,-0.017093540255975426,-0.001009599814671136,8.794677632414927e-06,5.33477915213576e-05
null_alpha,5,3,-0.004828495114659437,-0.0011584280112848719,-3.789982768781508e-05,-0.00014032486566101232
null_alpha,5,4,0.01122442617411179,0.0028180009691214786,8.850320516192584e-05,0.0010294626840030852
regime_shift,3,1,-0.007763586275982892,3.595308178432066e-05,-6.27524277714217e-06,-0.00012501185883392885
regime_shift,3,2,0.029795391175988173,0.0035288683578252114,2.7970084058859257e-06,8.024778615940698e-05
regime_shift,3,3,0.013891199132898324,0.005271820979376715,1.740757926082387e-05,0.000429185182662814
regime_shift,3,4,0.0006576933526256656,0.0006413187352775525,-4.798297690896541e-06,-0.00012282995167374466
regime_shift,5,1,0.006717030711118399,0.001587678195879752,4.632970284169924e-06,8.318607226728836e-05
regime_shift,5,2,0.03594071194512849,0.008981731396257242,3.201259081336144e-05,0.00036291620752265663
regime_shift,5,3,0.010908483460029816,-0.0013213541702542242,3.8979949089967825e-05,0.0005742532132231304
regime_shift,5,4,0.015282984202909411,0.0036477055261217167,-3.9516887755775e-05,-0.0005789945757083415
