scope,scope_value,score,rows,available_rows,coverage,alerts,truth_extremes,correct_extremes,precision,recall,sign_accuracy
block,2013_2015,anchored_axis_innovation,10581,10220,0.9658822417540875,1025,1063,248,0.24195121951219511,0.2333019755409219,0.8595121951219512
block,2013_2015,migration_surprise,10581,10581,1.0,1063,1063,184,0.17309501411100658,0.17309501411100658,0.638758231420508
block,2016_2018,anchored_axis_innovation,16691,16133,0.9665688095380744,1619,1673,392,0.24212476837554045,0.23430962343096234,0.8579369981470043
block,2016_2018,migration_surprise,16691,16691,1.0,1673,1673,326,0.19485953377166768,0.19485953377166768,0.7346084877465631
overall,all,anchored_axis_innovation,27272,26353,0.9663024347315928,2644,2736,640,0.24205748865355523,0.23391812865497075,0.8585476550680786
overall,all,migration_surprise,27272,27272,1.0,2736,2736,510,0.18640350877192982,0.18640350877192982,0.6973684210526315
scenario,migration_alpha,anchored_axis_innovation,9089,8786,0.9666629992298382,881,912,206,0.23382519863791146,0.22587719298245615,0.8433598183881952
scenario,migration_alpha,migration_surprise,9089,9089,1.0,912,912,223,0.24451754385964913,0.24451754385964913,0.8618421052631579
scenario,null_alpha,anchored_axis_innovation,9116,8789,0.9641290039491005,883,915,223,0.25254813137032844,0.24371584699453552,0.8708946772366931
scenario,null_alpha,migration_surprise,9116,9116,1.0,915,915,137,0.14972677595628414,0.14972677595628414,0.5300546448087432
scenario,regime_shift,anchored_axis_innovation,9067,8778,0.968126171831918,880,909,211,0.23977272727272728,0.23212321232123212,0.8613636363636363
scenario,regime_shift,migration_surprise,9067,9067,1.0,909,909,150,0.16501650165016502,0.16501650165016502,0.7007700770077008
