scope,scope_value,space,rows,complete_rows,p3_evaluation_rows,coverage,mean_recall_at_20,mean_random_recall,recall_lift_vs_random,crowding_spearman
block,2013_2015,anchored,15324,15324,16418,0.933365818004629,0.04816301226833725,0.011753185683623995,4.097868745104909,0.3262653945186116
block,2013_2015,relative,15324,15324,16418,0.933365818004629,0.04084442704254764,0.011753185683623995,3.475179252843524,0.30413093905591815
block,2016_2018,anchored,16140,16140,17293,0.9333256230844851,0.04858116480793061,0.011158639624893047,4.353681670976649,0.31685515417803367
block,2016_2018,relative,16140,16140,17293,0.9333256230844851,0.04080545229244113,0.011158639624893047,3.6568482955046813,0.2916961433384652
overall,all,anchored,31464,31464,33711,0.9333451988965026,0.04837751080600051,0.011448203056242941,4.225773299820992,0.32150252727876055
overall,all,relative,31464,31464,33711,0.9333451988965026,0.04082443427409103,0.011448203056242941,3.566012419025763,0.2977623066349573
scenario,migration_alpha,anchored,10489,10489,11257,0.9317757839566492,0.04719706359042807,0.011447110741594524,4.123054686536016,0.3383524809109336
scenario,migration_alpha,relative,10489,10489,11257,0.9317757839566492,0.04017542187053103,0.011447110741594524,3.5096560850545946,0.2870056391812236
scenario,null_alpha,anchored,10495,10495,11261,0.9319776218808277,0.04910433539780848,0.01144056375607765,4.292125497025656,0.33488899388409393
scenario,null_alpha,relative,10495,10495,11261,0.9319776218808277,0.04135778942353502,0.01144056375607765,3.6150132375744364,0.32397002067150915
scenario,regime_shift,anchored,10480,10480,11193,0.9362994728848387,0.048831106870229006,0.011456946543225958,4.262139714625876,0.2938926326095906
scenario,regime_shift,relative,10480,10480,11193,0.9362994728848387,0.04093988549618321,0.011456946543225958,3.5733679424723643,0.280824739536514
