scenario,level,axis_slug,variable,enabled,included_in_baseline_composite
null_alpha,component,demand_strength_pricing_power,gross_margin,True,True
null_alpha,component,demand_strength_pricing_power,revenue_cagr_3y,True,True
null_alpha,component,demand_strength_pricing_power,gross_margin_volatility_3y,True,True
null_alpha,component,competitive_defensibility,industry_sales_hhi,True,True
null_alpha,component,competitive_defensibility,log_active_firm_count,True,True
null_alpha,component,innovation_intensity,rd_intensity_zero,True,True
null_alpha,component,innovation_intensity,capitalized_rnd_stock_assets,True,True
null_alpha,component,innovation_intensity,rnd_positive_share_3y,True,True
null_alpha,component,go_to_market_efficiency,gross_profit_lag_sga,True,True
null_alpha,component,go_to_market_efficiency,revenue_change_lag_sga,True,True
null_alpha,component,go_to_market_efficiency,advertising_intensity,True,True
null_alpha,component,unit_economics_profit_quality,operating_margin,True,True
null_alpha,component,unit_economics_profit_quality,cash_adjusted_roic,True,True
null_alpha,component,unit_economics_profit_quality,gross_profitability_lag_assets,True,True
null_alpha,component,unit_economics_profit_quality,cash_conversion_lag_assets,True,False
null_alpha,component,scalability_capital_efficiency,asset_turnover,True,True
null_alpha,component,scalability_capital_efficiency,asset_lightness,True,True
null_alpha,component,scalability_capital_efficiency,incremental_operating_margin,True,True
null_alpha,component,scalability_capital_efficiency,capex_intensity,True,True
null_alpha,axis,demand_strength_pricing_power,demand_strength_pricing_power,True,True
null_alpha,axis,competitive_defensibility,competitive_defensibility,True,True
null_alpha,axis,innovation_intensity,innovation_intensity,True,True
null_alpha,axis,go_to_market_efficiency,go_to_market_efficiency,True,True
null_alpha,axis,unit_economics_profit_quality,unit_economics_profit_quality,True,True
null_alpha,axis,scalability_capital_efficiency,scalability_capital_efficiency,True,True
null_alpha,sensitivity,competitive_defensibility,competitive_defensibility_hhi_reversed,True,False
null_alpha,sensitivity,innovation_intensity,innovation_intensity_peer_imputed,True,False
migration_alpha,component,demand_strength_pricing_power,gross_margin,True,True
migration_alpha,component,demand_strength_pricing_power,revenue_cagr_3y,True,True
migration_alpha,component,demand_strength_pricing_power,gross_margin_volatility_3y,True,True
migration_alpha,component,competitive_defensibility,industry_sales_hhi,True,True
migration_alpha,component,competitive_defensibility,log_active_firm_count,True,True
migration_alpha,component,innovation_intensity,rd_intensity_zero,True,True
migration_alpha,component,innovation_intensity,capitalized_rnd_stock_assets,True,True
migration_alpha,component,innovation_intensity,rnd_positive_share_3y,True,True
migration_alpha,component,go_to_market_efficiency,gross_profit_lag_sga,True,True
migration_alpha,component,go_to_market_efficiency,revenue_change_lag_sga,True,True
migration_alpha,component,go_to_market_efficiency,advertising_intensity,True,True
migration_alpha,component,unit_economics_profit_quality,operating_margin,True,True
migration_alpha,component,unit_economics_profit_quality,cash_adjusted_roic,True,True
migration_alpha,component,unit_economics_profit_quality,gross_profitability_lag_assets,True,True
migration_alpha,component,unit_economics_profit_quality,cash_conversion_lag_assets,True,False
migration_alpha,component,scalability_capital_efficiency,asset_turnover,True,True
migration_alpha,component,scalability_capital_efficiency,asset_lightness,True,True
migration_alpha,component,scalability_capital_efficiency,incremental_operating_margin,True,True
migration_alpha,component,scalability_capital_efficiency,capex_intensity,True,True
migration_alpha,axis,demand_strength_pricing_power,demand_strength_pricing_power,True,True
migration_alpha,axis,competitive_defensibility,competitive_defensibility,True,True
migration_alpha,axis,innovation_intensity,innovation_intensity,True,True
migration_alpha,axis,go_to_market_efficiency,go_to_market_efficiency,True,True
migration_alpha,axis,unit_economics_profit_quality,unit_economics_profit_quality,True,True
migration_alpha,axis,scalability_capital_efficiency,scalability_capital_efficiency,True,True
migration_alpha,sensitivity,competitive_defensibility,competitive_defensibility_hhi_reversed,True,False
migration_alpha,sensitivity,innovation_intensity,innovation_intensity_peer_imputed,True,False
regime_shift,component,demand_strength_pricing_power,gross_margin,True,True
regime_shift,component,demand_strength_pricing_power,revenue_cagr_3y,True,True
regime_shift,component,demand_strength_pricing_power,gross_margin_volatility_3y,True,True
regime_shift,component,competitive_defensibility,industry_sales_hhi,True,True
regime_shift,component,competitive_defensibility,log_active_firm_count,True,True
regime_shift,component,innovation_intensity,rd_intensity_zero,True,True
regime_shift,component,innovation_intensity,capitalized_rnd_stock_assets,True,True
regime_shift,component,innovation_intensity,rnd_positive_share_3y,True,True
regime_shift,component,go_to_market_efficiency,gross_profit_lag_sga,True,True
regime_shift,component,go_to_market_efficiency,revenue_change_lag_sga,True,True
regime_shift,component,go_to_market_efficiency,advertising_intensity,True,True
regime_shift,component,unit_economics_profit_quality,operating_margin,True,True
regime_shift,component,unit_economics_profit_quality,cash_adjusted_roic,True,True
regime_shift,component,unit_economics_profit_quality,gross_profitability_lag_assets,True,True
regime_shift,component,unit_economics_profit_quality,cash_conversion_lag_assets,True,False
regime_shift,component,scalability_capital_efficiency,asset_turnover,True,True
regime_shift,component,scalability_capital_efficiency,asset_lightness,True,True
regime_shift,component,scalability_capital_efficiency,incremental_operating_margin,True,True
regime_shift,component,scalability_capital_efficiency,capex_intensity,True,True
regime_shift,axis,demand_strength_pricing_power,demand_strength_pricing_power,True,True
regime_shift,axis,competitive_defensibility,competitive_defensibility,True,True
regime_shift,axis,innovation_intensity,innovation_intensity,True,True
regime_shift,axis,go_to_market_efficiency,go_to_market_efficiency,True,True
regime_shift,axis,unit_economics_profit_quality,unit_economics_profit_quality,True,True
regime_shift,axis,scalability_capital_efficiency,scalability_capital_efficiency,True,True
regime_shift,sensitivity,competitive_defensibility,competitive_defensibility_hhi_reversed,True,False
regime_shift,sensitivity,innovation_intensity,innovation_intensity_peer_imputed,True,False
