scenario,section,left,right,method,observations,correlation
null_alpha,relative_axes,relative_demand_strength_pricing_power,relative_demand_strength_pricing_power,spearman,53969,1.0
null_alpha,relative_axes,relative_demand_strength_pricing_power,relative_competitive_defensibility,spearman,53969,0.0004503128299953
null_alpha,relative_axes,relative_demand_strength_pricing_power,relative_innovation_intensity,spearman,53969,0.0733732900323178
null_alpha,relative_axes,relative_demand_strength_pricing_power,relative_go_to_market_efficiency,spearman,53969,0.4705820074842524
null_alpha,relative_axes,relative_demand_strength_pricing_power,relative_unit_economics_profit_quality,spearman,53969,0.5600260107012169
null_alpha,relative_axes,relative_demand_strength_pricing_power,relative_scalability_capital_efficiency,spearman,53969,0.3507037050375352
null_alpha,relative_axes,relative_competitive_defensibility,relative_competitive_defensibility,spearman,59920,1.0
null_alpha,relative_axes,relative_competitive_defensibility,relative_innovation_intensity,spearman,59920,-0.0060731028203131
null_alpha,relative_axes,relative_competitive_defensibility,relative_go_to_market_efficiency,spearman,56922,-0.005446711640685
null_alpha,relative_axes,relative_competitive_defensibility,relative_unit_economics_profit_quality,spearman,56922,-0.0027975927261946
null_alpha,relative_axes,relative_competitive_defensibility,relative_scalability_capital_efficiency,spearman,56922,-0.0006404926350114
null_alpha,relative_axes,relative_innovation_intensity,relative_innovation_intensity,spearman,59920,1.0
null_alpha,relative_axes,relative_innovation_intensity,relative_go_to_market_efficiency,spearman,56922,0.0690975383854701
null_alpha,relative_axes,relative_innovation_intensity,relative_unit_economics_profit_quality,spearman,56922,0.1858609473193267
null_alpha,relative_axes,relative_innovation_intensity,relative_scalability_capital_efficiency,spearman,56922,0.1214081773418906
null_alpha,relative_axes,relative_go_to_market_efficiency,relative_go_to_market_efficiency,spearman,56922,0.9999999999999998
null_alpha,relative_axes,relative_go_to_market_efficiency,relative_unit_economics_profit_quality,spearman,56922,0.6244654515474004
null_alpha,relative_axes,relative_go_to_market_efficiency,relative_scalability_capital_efficiency,spearman,56922,0.4814911037184985
null_alpha,relative_axes,relative_unit_economics_profit_quality,relative_unit_economics_profit_quality,spearman,56922,0.9999999999999998
null_alpha,relative_axes,relative_unit_economics_profit_quality,relative_scalability_capital_efficiency,spearman,56922,0.5560380689588298
null_alpha,relative_axes,relative_scalability_capital_efficiency,relative_scalability_capital_efficiency,spearman,56922,0.9999999999999998
null_alpha,anchored_axes,anchored_demand_strength_pricing_power,anchored_demand_strength_pricing_power,spearman,53769,1.0
null_alpha,anchored_axes,anchored_demand_strength_pricing_power,anchored_competitive_defensibility,spearman,53769,0.0078983569665975
null_alpha,anchored_axes,anchored_demand_strength_pricing_power,anchored_innovation_intensity,spearman,53769,0.0817186479223247
null_alpha,anchored_axes,anchored_demand_strength_pricing_power,anchored_go_to_market_efficiency,spearman,53769,0.4753978416841508
null_alpha,anchored_axes,anchored_demand_strength_pricing_power,anchored_unit_economics_profit_quality,spearman,53769,0.5577067036964246
null_alpha,anchored_axes,anchored_demand_strength_pricing_power,anchored_scalability_capital_efficiency,spearman,53769,0.3563071842384686
null_alpha,anchored_axes,anchored_competitive_defensibility,anchored_competitive_defensibility,spearman,59718,1.0
null_alpha,anchored_axes,anchored_competitive_defensibility,anchored_innovation_intensity,spearman,59718,-0.0292639039310561
