scenario,section,left,right,method,observations,correlation
null_alpha,raw_components,gross_margin,gross_margin,spearman,59921,1.0
null_alpha,raw_components,gross_margin,revenue_cagr_3y,spearman,51101,0.0889618085781869
null_alpha,raw_components,gross_margin,gross_margin_volatility_3y,spearman,53970,-0.0064282322851645
null_alpha,raw_components,gross_margin,industry_sales_hhi,spearman,59921,-0.0075775675944782
null_alpha,raw_components,gross_margin,log_active_firm_count,spearman,59921,0.0421090665089955
null_alpha,raw_components,gross_margin,rd_intensity_zero,spearman,59921,0.2049579650981392
null_alpha,raw_components,gross_margin,capitalized_rnd_stock_assets,spearman,59921,0.2043021975772377
null_alpha,raw_components,gross_margin,rnd_positive_share_3y,spearman,53970,-0.001299970518419
null_alpha,raw_components,gross_margin,gross_profit_lag_sga,spearman,56923,0.6772635968983086
null_alpha,raw_components,gross_margin,revenue_change_lag_sga,spearman,56923,0.0493108399730756
null_alpha,raw_components,gross_margin,advertising_intensity,spearman,22671,0.2997634451859107
null_alpha,raw_components,gross_margin,operating_margin,spearman,59921,0.5982056853842725
null_alpha,raw_components,gross_margin,cash_adjusted_roic,spearman,56923,0.5823696460009029
null_alpha,raw_components,gross_margin,gross_profitability_lag_assets,spearman,56923,0.7203742983043847
null_alpha,raw_components,gross_margin,cash_conversion_lag_assets,spearman,56923,0.5838753680060158
null_alpha,raw_components,gross_margin,asset_turnover,spearman,56923,0.2001726671671896
null_alpha,raw_components,gross_margin,asset_lightness,spearman,59921,0.3122079766300115
null_alpha,raw_components,gross_margin,incremental_operating_margin,spearman,54220,0.120715824062993
null_alpha,raw_components,gross_margin,capex_intensity,spearman,59921,-0.1864990126249691
null_alpha,raw_components,revenue_cagr_3y,revenue_cagr_3y,spearman,51101,1.0
null_alpha,raw_components,revenue_cagr_3y,gross_margin_volatility_3y,spearman,51101,-0.001236664340448
null_alpha,raw_components,revenue_cagr_3y,industry_sales_hhi,spearman,51101,0.0214390556984053
null_alpha,raw_components,revenue_cagr_3y,log_active_firm_count,spearman,51101,-0.0059439091783779
null_alpha,raw_components,revenue_cagr_3y,rd_intensity_zero,spearman,51101,0.0396730962933582
null_alpha,raw_components,revenue_cagr_3y,capitalized_rnd_stock_assets,spearman,51101,-0.1422397250460774
null_alpha,raw_components,revenue_cagr_3y,rnd_positive_share_3y,spearman,51101,-0.0036345589770616
null_alpha,raw_components,revenue_cagr_3y,gross_profit_lag_sga,spearman,51101,0.408776170974075
null_alpha,raw_components,revenue_cagr_3y,revenue_change_lag_sga,spearman,51101,0.512715861370335
null_alpha,raw_components,revenue_cagr_3y,advertising_intensity,spearman,19305,0.0716389076000581
null_alpha,raw_components,revenue_cagr_3y,operating_margin,spearman,51101,0.0893451511652361
null_alpha,raw_components,revenue_cagr_3y,cash_adjusted_roic,spearman,51101,0.3189093095521662
null_alpha,raw_components,revenue_cagr_3y,gross_profitability_lag_assets,spearman,51101,0.456909418576686
null_alpha,raw_components,revenue_cagr_3y,cash_conversion_lag_assets,spearman,51101,0.2854269536281863
null_alpha,raw_components,revenue_cagr_3y,asset_turnover,spearman,51101,0.584984244809802
null_alpha,raw_components,revenue_cagr_3y,asset_lightness,spearman,51101,0.2262020748992888
null_alpha,raw_components,revenue_cagr_3y,incremental_operating_margin,spearman,48662,0.0057253504719967
null_alpha,raw_components,revenue_cagr_3y,capex_intensity,spearman,51101,-0.4058016466866505
null_alpha,raw_components,gross_margin_volatility_3y,gross_margin_volatility_3y,spearman,53970,1.0
null_alpha,raw_components,gross_margin_volatility_3y,industry_sales_hhi,spearman,53970,-0.0003125508052267
null_alpha,raw_components,gross_margin_volatility_3y,log_active_firm_count,spearman,53970,-0.0170577965795646
null_alpha,raw_components,gross_margin_volatility_3y,rd_intensity_zero,spearman,53970,0.0014083185903339
null_alpha,raw_components,gross_margin_volatility_3y,capitalized_rnd_stock_assets,spearman,53970,-0.0099049504403111
null_alpha,raw_components,gross_margin_volatility_3y,rnd_positive_share_3y,spearman,53970,-0.0009352916133996
null_alpha,raw_components,gross_margin_volatility_3y,gross_profit_lag_sga,spearman,53970,-0.009131355756862
null_alpha,raw_components,gross_margin_volatility_3y,revenue_change_lag_sga,spearman,53970,-0.0027661936765445
null_alpha,raw_components,gross_margin_volatility_3y,advertising_intensity,spearman,20401,0.0041825870217146
null_alpha,raw_components,gross_margin_volatility_3y,operating_margin,spearman,53970,-0.0035059626048528
null_alpha,raw_components,gross_margin_volatility_3y,cash_adjusted_roic,spearman,53970,-0.0053425931114456
null_alpha,raw_components,gross_margin_volatility_3y,gross_profitability_lag_assets,spearman,53970,-0.008645870365066
null_alpha,raw_components,gross_margin_volatility_3y,cash_conversion_lag_assets,spearman,53970,-0.0043701811191405
null_alpha,raw_components,gross_margin_volatility_3y,asset_turnover,spearman,53970,-0.0026558258879977
null_alpha,raw_components,gross_margin_volatility_3y,asset_lightness,spearman,53970,-0.0039524081094928
null_alpha,raw_components,gross_margin_volatility_3y,incremental_operating_margin,spearman,51408,0.0328728783289098
null_alpha,raw_components,gross_margin_volatility_3y,capex_intensity,spearman,53970,0.0037075138890394
null_alpha,raw_components,industry_sales_hhi,industry_sales_hhi,spearman,59921,1.0
null_alpha,raw_components,industry_sales_hhi,log_active_firm_count,spearman,59921,-0.3142356919965273
null_alpha,raw_components,industry_sales_hhi,rd_intensity_zero,spearman,59921,-0.0099066334044683
null_alpha,raw_components,industry_sales_hhi,capitalized_rnd_stock_assets,spearman,59921,-0.0950352368837311
null_alpha,raw_components,industry_sales_hhi,rnd_positive_share_3y,spearman,53970,0.0126736673301921
null_alpha,raw_components,industry_sales_hhi,gross_profit_lag_sga,spearman,56923,-0.0037709600150059
null_alpha,raw_components,industry_sales_hhi,revenue_change_lag_sga,spearman,56923,0.0089756027930208
null_alpha,raw_components,industry_sales_hhi,advertising_intensity,spearman,22671,0.0035369404126086
null_alpha,raw_components,industry_sales_hhi,operating_margin,spearman,59921,-0.0140275369622237
null_alpha,raw_components,industry_sales_hhi,cash_adjusted_roic,spearman,56923,-0.0038851944524194
null_alpha,raw_components,industry_sales_hhi,gross_profitability_lag_assets,spearman,56923,0.0153915616507693
null_alpha,raw_components,industry_sales_hhi,cash_conversion_lag_assets,spearman,56923,-0.0067068868127162
null_alpha,raw_components,industry_sales_hhi,asset_turnover,spearman,56923,0.0297461218145806
null_alpha,raw_components,industry_sales_hhi,asset_lightness,spearman,59921,0.0352300028963252
null_alpha,raw_components,industry_sales_hhi,incremental_operating_margin,spearman,54220,-0.0075203481019641
null_alpha,raw_components,industry_sales_hhi,capex_intensity,spearman,59921,-0.0318222767459868
null_alpha,raw_components,log_active_firm_count,log_active_firm_count,spearman,59921,1.0
null_alpha,raw_components,log_active_firm_count,rd_intensity_zero,spearman,59921,-0.0180998297212145
null_alpha,raw_components,log_active_firm_count,capitalized_rnd_stock_assets,spearman,59921,0.1253707945895796
null_alpha,raw_components,log_active_firm_count,rnd_positive_share_3y,spearman,53970,0.0069487958562652
null_alpha,raw_components,log_active_firm_count,gross_profit_lag_sga,spearman,56923,0.0095325335089888
null_alpha,raw_components,log_active_firm_count,revenue_change_lag_sga,spearman,56923,-0.0043217128629565
null_alpha,raw_components,log_active_firm_count,advertising_intensity,spearman,22671,-0.0550942476938272
null_alpha,raw_components,log_active_firm_count,operating_margin,spearman,59921,-0.043833162113882
null_alpha,raw_components,log_active_firm_count,cash_adjusted_roic,spearman,56923,-0.045411203810778
null_alpha,raw_components,log_active_firm_count,gross_profitability_lag_assets,spearman,56923,0.0130269808716976
null_alpha,raw_components,log_active_firm_count,cash_conversion_lag_assets,spearman,56923,-0.0446358662719378
null_alpha,raw_components,log_active_firm_count,asset_turnover,spearman,56923,-0.0186378946699645
null_alpha,raw_components,log_active_firm_count,asset_lightness,spearman,59921,-0.0305096204245089
null_alpha,raw_components,log_active_firm_count,incremental_operating_margin,spearman,54220,-0.0108370960246851
null_alpha,raw_components,log_active_firm_count,capex_intensity,spearman,59921,0.0236309705477262
null_alpha,raw_components,rd_intensity_zero,rd_intensity_zero,spearman,59921,1.0
null_alpha,raw_components,rd_intensity_zero,capitalized_rnd_stock_assets,spearman,59921,0.569207828119738
null_alpha,raw_components,rd_intensity_zero,rnd_positive_share_3y,spearman,53970,0.4140356029651568
null_alpha,raw_components,rd_intensity_zero,gross_profit_lag_sga,spearman,56923,0.1762001490353825
null_alpha,raw_components,rd_intensity_zero,revenue_change_lag_sga,spearman,56923,0.0241948608520196
null_alpha,raw_components,rd_intensity_zero,advertising_intensity,spearman,22671,0.1597560431509608
null_alpha,raw_components,rd_intensity_zero,operating_margin,spearman,59921,0.1983016585979731
null_alpha,raw_components,rd_intensity_zero,cash_adjusted_roic,spearman,56923,0.226823897399335
null_alpha,raw_components,rd_intensity_zero,gross_profitability_lag_assets,spearman,56923,0.1924384273659295
null_alpha,raw_components,rd_intensity_zero,cash_conversion_lag_assets,spearman,56923,0.2031755309040666
null_alpha,raw_components,rd_intensity_zero,asset_turnover,spearman,56923,0.1026169900288346
null_alpha,raw_components,rd_intensity_zero,asset_lightness,spearman,59921,0.1587196665274843
null_alpha,raw_components,rd_intensity_zero,incremental_operating_margin,spearman,54220,0.0391631520444386
null_alpha,raw_components,rd_intensity_zero,capex_intensity,spearman,59921,-0.0986645947110273
null_alpha,raw_components,capitalized_rnd_stock_assets,capitalized_rnd_stock_assets,spearman,59921,1.0
null_alpha,raw_components,capitalized_rnd_stock_assets,rnd_positive_share_3y,spearman,53970,0.4416356467686753
null_alpha,raw_components,capitalized_rnd_stock_assets,gross_profit_lag_sga,spearman,56923,0.1275896045892136
null_alpha,raw_components,capitalized_rnd_stock_assets,revenue_change_lag_sga,spearman,56923,-0.081202811754077
null_alpha,raw_components,capitalized_rnd_stock_assets,advertising_intensity,spearman,22671,0.1677917334482707
null_alpha,raw_components,capitalized_rnd_stock_assets,operating_margin,spearman,59921,0.1924197116753269
null_alpha,raw_components,capitalized_rnd_stock_assets,cash_adjusted_roic,spearman,56923,0.225999970256887
null_alpha,raw_components,capitalized_rnd_stock_assets,gross_profitability_lag_assets,spearman,56923,0.1815012493468396
null_alpha,raw_components,capitalized_rnd_stock_assets,cash_conversion_lag_assets,spearman,56923,0.1974895547411339
null_alpha,raw_components,capitalized_rnd_stock_assets,asset_turnover,spearman,56923,0.0781696395513278
null_alpha,raw_components,capitalized_rnd_stock_assets,asset_lightness,spearman,59921,0.2136085750135055
null_alpha,raw_components,capitalized_rnd_stock_assets,incremental_operating_margin,spearman,54220,0.0352395253855489
null_alpha,raw_components,capitalized_rnd_stock_assets,capex_intensity,spearman,59921,-0.1499671703639012
null_alpha,raw_components,rnd_positive_share_3y,rnd_positive_share_3y,spearman,53970,1.0
null_alpha,raw_components,rnd_positive_share_3y,gross_profit_lag_sga,spearman,53970,0.0031299349101094
null_alpha,raw_components,rnd_positive_share_3y,revenue_change_lag_sga,spearman,53970,0.0013898953328212
null_alpha,raw_components,rnd_positive_share_3y,advertising_intensity,spearman,20401,0.0108885211314439
null_alpha,raw_components,rnd_positive_share_3y,operating_margin,spearman,53970,0.0043736028524144
null_alpha,raw_components,rnd_positive_share_3y,cash_adjusted_roic,spearman,53970,0.0045472025139388
null_alpha,raw_components,rnd_positive_share_3y,gross_profitability_lag_assets,spearman,53970,-0.002160333426303
null_alpha,raw_components,rnd_positive_share_3y,cash_conversion_lag_assets,spearman,53970,0.0040060821169877
