scenario,horizon_years,label_status,censor_reason,rows
null_alpha,3,censored,administrative_right_censor,6039
null_alpha,3,censored,competing_exit,1683
null_alpha,3,censored,lost_followup,3
null_alpha,3,observed,none,52196
null_alpha,5,censored,administrative_right_censor,9816
null_alpha,5,censored,competing_exit,2684
null_alpha,5,censored,lost_followup,3
null_alpha,5,observed,none,47418
migration_alpha,3,censored,administrative_right_censor,5927
migration_alpha,3,censored,competing_exit,1649
migration_alpha,3,censored,lost_followup,1
migration_alpha,3,observed,none,51325
migration_alpha,5,censored,administrative_right_censor,9619
migration_alpha,5,censored,competing_exit,2589
migration_alpha,5,observed,none,46694
regime_shift,3,censored,administrative_right_censor,5881
regime_shift,3,censored,competing_exit,1766
regime_shift,3,censored,lost_followup,3
regime_shift,3,observed,none,50571
regime_shift,5,censored,administrative_right_censor,9564
regime_shift,5,censored,competing_exit,2785
regime_shift,5,censored,lost_followup,2
regime_shift,5,observed,none,45870
