scenario,horizon_years,prediction_year,train_rows,prediction_rows,alpha,status,train_max_feature_date,coefficient_l2_norm,intercept,artifact
null_alpha,3,2000,0,0,10.0,insufficient_history,,,,
null_alpha,3,2001,0,1277,10.0,insufficient_history,,,,
null_alpha,3,2002,1277,1303,10.0,fitted,2001-10-31,0.2927612277792533,0.0073669380822712,h3_predict_2002.joblib
null_alpha,3,2003,2580,1344,10.0,fitted,2002-08-31,0.3044059114299924,0.0139508230739702,h3_predict_2003.joblib
null_alpha,3,2004,3924,1389,10.0,fitted,2003-08-31,0.3032986627562268,0.0103582599181477,h3_predict_2004.joblib
null_alpha,3,2005,5313,0,10.0,insufficient_history,,,,
null_alpha,3,2006,5313,1457,10.0,fitted,2004-06-30,0.3028104704309094,0.0062549510511731,h3_predict_2006.joblib
null_alpha,3,2007,6770,1502,10.0,fitted,2006-06-30,0.2989582000549854,0.005460194079781,h3_predict_2007.joblib
null_alpha,3,2008,8272,1534,10.0,fitted,2007-06-30,0.3013769469365581,0.0054843694642091,h3_predict_2008.joblib
null_alpha,3,2009,9806,1568,10.0,fitted,2008-06-30,0.3022602878973155,0.0051368202676109,h3_predict_2009.joblib
null_alpha,3,2010,11374,0,10.0,insufficient_history,,,,
null_alpha,3,2011,11374,1632,10.0,fitted,2009-06-30,0.3033020111043344,0.0057572871487916,h3_predict_2011.joblib
null_alpha,3,2012,13006,1665,10.0,fitted,2011-12-31,0.270295978902712,0.0056935251362012,h3_predict_2012.joblib
null_alpha,3,2013,14671,1687,10.0,fitted,2012-07-31,0.2465778229874836,0.0050208837966328,h3_predict_2013.joblib
null_alpha,3,2014,16358,1742,10.0,fitted,2013-06-30,0.2304973740064439,0.0035173979084757,h3_predict_2014.joblib
null_alpha,3,2015,18100,1,10.0,fitted,2014-06-30,0.2265230258359536,0.0044056965810526,h3_predict_2015.joblib
null_alpha,3,2016,18101,1795,10.0,fitted,2015-03-31,0.2265726755514076,0.0043243199279971,h3_predict_2016.joblib
null_alpha,3,2017,19896,1828,10.0,fitted,2016-06-30,0.2056403069350173,0.0036741818333116,h3_predict_2017.joblib
null_alpha,3,2018,21724,1857,10.0,fitted,2017-06-30,0.1915485696432539,0.0040700562456248,h3_predict_2018.joblib
null_alpha,3,2019,23581,1893,10.0,fitted,2018-07-31,0.1815003903704185,0.0021533865155371,h3_predict_2019.joblib
null_alpha,5,2000,0,0,10.0,insufficient_history,,,,
null_alpha,5,2001,0,1277,10.0,insufficient_history,,,,
null_alpha,5,2002,1277,1303,10.0,fitted,2001-10-31,0.4034318298089789,0.015693603366789,h5_predict_2002.joblib
null_alpha,5,2003,2580,1344,10.0,fitted,2002-08-31,0.4412991180617122,0.0182453717377987,h5_predict_2003.joblib
null_alpha,5,2004,3924,1389,10.0,fitted,2003-08-31,0.4461202330909238,0.0126229012275925,h5_predict_2004.joblib
null_alpha,5,2005,5313,0,10.0,insufficient_history,,,,
null_alpha,5,2006,5313,1457,10.0,fitted,2004-06-30,0.447242177211798,0.007388622042137,h5_predict_2006.joblib
null_alpha,5,2007,6770,1502,10.0,fitted,2006-06-30,0.3208693431032099,0.0043678139985541,h5_predict_2007.joblib
null_alpha,5,2008,8272,1534,10.0,fitted,2007-06-30,0.2909600133122038,0.0033261077299223,h5_predict_2008.joblib
null_alpha,5,2009,9806,1568,10.0,fitted,2008-06-30,0.2758644706401835,0.0014351559497294,h5_predict_2009.joblib
null_alpha,5,2010,11374,0,10.0,insufficient_history,,,,
null_alpha,5,2011,11374,1632,10.0,fitted,2009-06-30,0.267844549129494,0.0013216798720519,h5_predict_2011.joblib
null_alpha,5,2012,13006,1665,10.0,fitted,2011-12-31,0.2461098707992841,0.0017218565449451,h5_predict_2012.joblib
null_alpha,5,2013,14671,1687,10.0,fitted,2012-07-31,0.2295541942482631,0.0020972907785502,h5_predict_2013.joblib
null_alpha,5,2014,16358,1742,10.0,fitted,2013-06-30,0.2175975266911506,0.0007647619804678,h5_predict_2014.joblib
null_alpha,5,2015,18100,1,10.0,fitted,2014-06-30,0.2168779826466712,0.0031356500635342,h5_predict_2015.joblib
null_alpha,5,2016,18101,1795,10.0,fitted,2015-03-31,0.2169510828029568,0.0030524670328797,h5_predict_2016.joblib
null_alpha,5,2017,19896,1828,10.0,fitted,2016-06-30,0.2048858974420553,0.0022679940622533,h5_predict_2017.joblib
null_alpha,5,2018,21724,1857,10.0,fitted,2017-06-30,0.1963708389661233,0.001883073956675,h5_predict_2018.joblib
null_alpha,5,2019,23581,1893,10.0,fitted,2018-07-31,0.1872912570896995,0.0011922927447272,h5_predict_2019.joblib
migration_alpha,3,2000,0,0,10.0,insufficient_history,,,,
migration_alpha,3,2001,0,1262,10.0,insufficient_history,,,,
migration_alpha,3,2002,1262,1294,10.0,fitted,2001-06-30,0.2276520893996724,-0.014649643878828,h3_predict_2002.joblib
migration_alpha,3,2003,2556,1336,10.0,fitted,2002-06-30,0.2641698001223423,-0.0161523986658452,h3_predict_2003.joblib
migration_alpha,3,2004,3892,1385,10.0,fitted,2003-06-30,0.2727946742696017,-0.0132743187815752,h3_predict_2004.joblib
migration_alpha,3,2005,5277,0,10.0,insufficient_history,,,,
migration_alpha,3,2006,5277,1473,10.0,fitted,2004-10-31,0.2725556735107548,-0.0143781272780687,h3_predict_2006.joblib
migration_alpha,3,2007,6750,1515,10.0,fitted,2006-06-30,0.2458306537856504,-0.010492552190918,h3_predict_2007.joblib
migration_alpha,3,2008,8265,1538,10.0,fitted,2007-06-30,0.2733887534515992,-0.0098599540306894,h3_predict_2008.joblib
migration_alpha,3,2009,9803,1580,10.0,fitted,2008-07-31,0.307633070390844,-0.0162107869621148,h3_predict_2009.joblib
migration_alpha,3,2010,11383,0,10.0,insufficient_history,,,,
migration_alpha,3,2011,11383,1647,10.0,fitted,2009-06-30,0.3528524864758524,-0.0228281536807298,h3_predict_2011.joblib
migration_alpha,3,2012,13030,1672,10.0,fitted,2011-08-31,0.3105976401317984,-0.0209422759082164,h3_predict_2012.joblib
migration_alpha,3,2013,14702,1698,10.0,fitted,2012-06-30,0.2781809103864859,-0.0183750981067303,h3_predict_2013.joblib
migration_alpha,3,2014,16400,1723,10.0,fitted,2013-12-31,0.2565941984610728,-0.0160830332184009,h3_predict_2014.joblib
migration_alpha,3,2015,18123,0,10.0,insufficient_history,,,,
migration_alpha,3,2016,18123,1793,10.0,fitted,2014-07-31,0.2347529665730099,-0.0156835982691604,h3_predict_2016.joblib
migration_alpha,3,2017,19916,1824,10.0,fitted,2016-10-31,0.2456207963744491,-0.013661083572666,h3_predict_2017.joblib
migration_alpha,3,2018,21740,1857,10.0,fitted,2017-06-30,0.2529915416812319,-0.0137436607261633,h3_predict_2018.joblib
migration_alpha,3,2019,23597,1892,10.0,fitted,2018-12-31,0.2584159633777469,-0.0143238061165404,h3_predict_2019.joblib
migration_alpha,5,2000,0,0,10.0,insufficient_history,,,,
migration_alpha,5,2001,0,1262,10.0,insufficient_history,,,,
migration_alpha,5,2002,1262,1294,10.0,fitted,2001-06-30,0.4655414207644092,-0.0149349238959883,h5_predict_2002.joblib
migration_alpha,5,2003,2556,1336,10.0,fitted,2002-06-30,0.5279252127171181,-0.0192897806722734,h5_predict_2003.joblib
migration_alpha,5,2004,3892,1385,10.0,fitted,2003-06-30,0.5546608147711566,-0.0139640206212351,h5_predict_2004.joblib
migration_alpha,5,2005,5277,0,10.0,insufficient_history,,,,
migration_alpha,5,2006,5277,1473,10.0,fitted,2004-10-31,0.5632136612191697,-0.0143941562634972,h5_predict_2006.joblib
migration_alpha,5,2007,6750,1515,10.0,fitted,2006-06-30,0.3871801117348585,-0.0080754998860769,h5_predict_2007.joblib
migration_alpha,5,2008,8265,1538,10.0,fitted,2007-06-30,0.3009087792225636,-0.0059754086509276,h5_predict_2008.joblib
migration_alpha,5,2009,9803,1580,10.0,fitted,2008-07-31,0.2523969488386349,-0.0055692603902543,h5_predict_2009.joblib
migration_alpha,5,2010,11383,0,10.0,insufficient_history,,,,
migration_alpha,5,2011,11383,1647,10.0,fitted,2009-06-30,0.2268988386480435,-0.0058943804254785,h5_predict_2011.joblib
migration_alpha,5,2012,13030,1672,10.0,fitted,2011-08-31,0.2198522342303741,-0.0074043284083204,h5_predict_2012.joblib
migration_alpha,5,2013,14702,1698,10.0,fitted,2012-06-30,0.2129070336504945,-0.0066501645736935,h5_predict_2013.joblib
