scenario,cause,feature,event_rows,schoenfeld_time_spearman,p_value
null_alpha,performance_failure,viability_log_odds,267,-0.0321243412568477,0.6012608652597254
null_alpha,performance_failure,velocity_log_odds,267,0.0717659502148992,0.2425362417830791
null_alpha,performance_failure,acceleration_log_odds,267,-0.0314870916894279,0.608499551786626
null_alpha,performance_failure,crowding_density,267,0.0426496151016784,0.4877157015531377
null_alpha,performance_failure,historical_success_density,267,0.0408092368608098,0.5067053603822174
null_alpha,performance_failure,log_market_cap,267,0.0131023708162423,0.8312496117566179
null_alpha,performance_failure,book_leverage,267,-0.0853547126580318,0.1643155013759332
null_alpha,performance_failure,operating_margin,267,0.0430537543453909,0.4835973936798192
null_alpha,merger,viability_log_odds,302,0.0379673111997091,0.5109865049899835
null_alpha,merger,velocity_log_odds,302,0.0501046388600582,0.3855804802390145
null_alpha,merger,acceleration_log_odds,302,-0.0898606422233108,0.119164616670593
null_alpha,merger,crowding_density,302,-0.0120546534385792,0.8347399133707266
null_alpha,merger,historical_success_density,302,-0.0794424208934636,0.1685078712412172
null_alpha,merger,log_market_cap,302,-0.0948715494700855,0.0998526826943206
null_alpha,merger,book_leverage,302,0.0558875387565452,0.3330688591842315
null_alpha,merger,operating_margin,302,-0.0619992818164411,0.2828235382925728
migration_alpha,performance_failure,viability_log_odds,273,0.0860759464741016,0.1560985437419841
migration_alpha,performance_failure,velocity_log_odds,273,0.0236740294988177,0.6969662609295806
migration_alpha,performance_failure,acceleration_log_odds,273,-0.0514278973712323,0.3973354164898183
migration_alpha,performance_failure,crowding_density,273,-0.0105409650628488,0.8623598205978142
migration_alpha,performance_failure,historical_success_density,273,0.0042239947009256,0.9446139824021288
migration_alpha,performance_failure,log_market_cap,273,0.011370841561376,0.8516440725092435
migration_alpha,performance_failure,book_leverage,273,-0.0033858607248011,0.9555911029642528
migration_alpha,performance_failure,operating_margin,273,0.0167075313685358,0.7834650934962523
migration_alpha,merger,viability_log_odds,295,-0.0296453656210269,0.6120666849605153
migration_alpha,merger,velocity_log_odds,295,0.0367873965853444,0.5291036969798137
migration_alpha,merger,acceleration_log_odds,295,0.0652120814409342,0.2642133820289098
migration_alpha,merger,crowding_density,295,-0.0130170167027906,0.823819722372074
migration_alpha,merger,historical_success_density,295,-0.0639493988828709,0.2735934078064357
migration_alpha,merger,log_market_cap,295,0.0217395140782497,0.7100066783926473
migration_alpha,merger,book_leverage,295,0.0557626062150555,0.339865609737627
migration_alpha,merger,operating_margin,295,-0.0018985730105537,0.9740967237188058
regime_shift,performance_failure,viability_log_odds,260,0.0324584211767568,0.602372480022592
regime_shift,performance_failure,velocity_log_odds,260,0.050546486542348,0.417004300334226
regime_shift,performance_failure,acceleration_log_odds,260,-0.0291917144863701,0.6394026844430826
regime_shift,performance_failure,crowding_density,260,0.010997455917611,0.859917211859651
regime_shift,performance_failure,historical_success_density,260,0.0038656503074879,0.95053764108537
regime_shift,performance_failure,log_market_cap,260,0.0167933708933438,0.7875455297557699
regime_shift,performance_failure,book_leverage,260,-0.0180766862254861,0.7717419783968
regime_shift,performance_failure,operating_margin,260,-0.0402180578312559,0.5185168752386866
regime_shift,merger,viability_log_odds,296,0.061832190057777,0.2890013468393925
regime_shift,merger,velocity_log_odds,296,0.0440540529201552,0.4501924124831938
regime_shift,merger,acceleration_log_odds,296,0.1360248062737648,0.0192193367705909
regime_shift,merger,crowding_density,296,-0.0069518642409523,0.9051963181070904
regime_shift,merger,historical_success_density,296,0.0138398713736907,0.8125683394132974
regime_shift,merger,log_market_cap,296,-0.0437974156803685,0.4528384979675154
regime_shift,merger,book_leverage,296,-0.0192360283840988,0.741717841200703
regime_shift,merger,operating_margin,296,0.0493446549069493,0.3976192164452967
