scenario,dimension,value,cause,intervals,issuers,events,roc_auc,brier_score
null_alpha,decade,2010,merger,16843,2091,185,0.4954970097964455,0.0108738865899898
null_alpha,decade,2010,performance_failure,16843,2091,172,0.5642541078854382,0.0101094840609567
null_alpha,sic1,2,merger,14322,1769,159,0.4951345897739571,0.0109903143905779
null_alpha,sic1,3,merger,2521,322,26,0.4985201171573917,0.0102124510643958
null_alpha,sic1,2,performance_failure,14322,1769,150,0.5745055978925581,0.0103639948735091
null_alpha,sic1,3,performance_failure,2521,322,22,0.4957983193277311,0.0086635880445442
migration_alpha,decade,2010,merger,16883,2065,195,0.4879102441182978,0.011430867946045
migration_alpha,decade,2010,performance_failure,16883,2065,175,0.6142244946817607,0.0102453138478121
migration_alpha,sic1,2,merger,13704,1678,154,0.5045928978770308,0.01112123957527
migration_alpha,sic1,3,merger,3179,387,41,0.4284848202210511,0.0127656106931667
migration_alpha,sic1,2,performance_failure,13704,1678,133,0.6072623900034516,0.0096037005404877
migration_alpha,sic1,3,performance_failure,3179,387,42,0.6340073166659077,0.0130111737923151
regime_shift,decade,2010,merger,16773,2076,187,0.4513831973489658,0.0110414107828397
regime_shift,decade,2010,performance_failure,16773,2076,174,0.5218684410430485,0.0102716787586308
regime_shift,sic1,2,merger,13909,1729,160,0.4474779983998836,0.0113902568984995
regime_shift,sic1,3,merger,2864,347,27,0.4791968563558271,0.009347241570999
regime_shift,sic1,2,performance_failure,13909,1729,150,0.5154352302735179,0.0106773971364701
regime_shift,sic1,3,performance_failure,2864,347,24,0.5668280516431925,0.0083013097232372
