scenario,horizon_months,signal,signal_label,months,observations,mean_coefficient,hac_standard_error,t_stat,p_value,mean_rank_ic,rank_ic_hac_standard_error,rank_ic_t_stat,rank_ic_p_value,positive_fold_share,is_primary,holm_p_value,holm_reject_5pct
null_alpha,1,migration_surprise,migration_surprise,68,24008,-0.0004577911021929,0.0011250328122799,-0.4069135559390645,0.6840714792634451,0.0071645113716574,0.0110377695480591,0.6490905015241266,0.5162798809558087,0.25,False,1.0,False
null_alpha,1,velocity_log_odds,raw_migration,73,25284,-0.0019225217554704,0.001077337481082,-1.784512085794551,0.0743404927199466,-0.0083464913121207,0.0124251192241657,-0.6717433580747945,0.5017470936260033,0.25,False,0.8177454199194133,False
null_alpha,1,viability_log_odds,static_viability,93,32594,-0.0010688429065465,0.0013953621262244,-0.7659967878292715,0.4436782134758372,-0.0141075662239734,0.0105884215368654,-1.3323578188548195,0.1827426359983407,0.0,False,1.0,False
null_alpha,3,migration_surprise,migration_surprise,68,24008,0.0018101442139602,0.0025117093244426,0.7206822048813082,0.4711050634670035,0.017890683225639,0.012167511171922,1.4703650543526092,0.1414629106034962,0.5,False,1.0,False
null_alpha,3,velocity_log_odds,raw_migration,73,25284,-0.0005426795729991,0.0020077207805836,-0.2702963371437737,0.7869322830587268,0.0078430305847931,0.0118031348232398,0.6644870792588567,0.5063786158942629,0.25,False,1.0,False
null_alpha,3,viability_log_odds,static_viability,93,32594,-0.0028792248025754,0.0031879547210889,-0.9031573703129504,0.3664423792225483,-0.0076411480103665,0.0099319343474197,-0.7693514418318392,0.4416847066383772,0.5,False,1.0,False
null_alpha,6,migration_surprise,migration_surprise,68,24008,0.0011107587606861,0.003647764053082,0.3045040042399843,0.7607439425611933,0.0079673916381234,0.0160538729242616,0.4962909371284832,0.6196891595242076,0.25,True,1.0,False
null_alpha,6,velocity_log_odds,raw_migration,73,25284,-0.0027717664044365,0.0034229546498286,-0.8097584362022788,0.4180790251697225,0.0018101594345839,0.0116681828105185,0.1551363621893305,0.8767138163131373,0.25,False,1.0,False
null_alpha,6,viability_log_odds,static_viability,93,32594,-0.0062841416966987,0.0038289784727389,-1.641205805005125,0.1007547011229985,-0.0240327437034947,0.0087590650500965,-2.7437567327154238,0.0060740531519976,0.25,False,1.0,False
null_alpha,12,migration_surprise,migration_surprise,68,24008,-0.0025693786635832,0.0053049268370607,-0.4843381902335306,0.6281458766998349,-0.0074609564034598,0.0132072870317195,-0.5649121114382565,0.5721335453448415,0.25,False,1.0,False
null_alpha,12,velocity_log_odds,raw_migration,73,25284,-0.0043729725905181,0.0057573807119036,-0.7595420225514685,0.4475283861565603,-0.0054063839540263,0.0091819416219101,-0.588806178110033,0.5559913009657814,0.5,False,1.0,False
null_alpha,12,viability_log_odds,static_viability,93,32594,-0.0140243676024711,0.0070102771940872,-2.000543946293576,0.0454415594648589,-0.0234720520421112,0.0094875392008864,-2.473987358062049,0.0133614424741814,0.25,False,0.545298713578307,False
migration_alpha,1,migration_surprise,migration_surprise,67,24008,-0.0004231023966581,0.0012624571831004,-0.335141977345379,0.7375179886925458,-0.0083146779762213,0.0106160729734404,-0.7832159779819873,0.4335002936589069,0.5,False,1.0,False
migration_alpha,1,velocity_log_odds,raw_migration,71,25254,0.000147546760454,0.0010571166426269,0.1395747209951989,0.8889960148036222,-0.0114340366974552,0.0096429216090557,-1.185744026656556,0.2357234021140182,0.5,False,1.0,False
migration_alpha,1,viability_log_odds,static_viability,93,32580,0.001067818844078,0.0014226805338853,0.750568253831258,0.4529125326934377,-0.0113466255752957,0.0098946168367531,-1.1467473437828573,0.251486057374687,0.75,False,1.0,False
migration_alpha,3,migration_surprise,migration_surprise,67,24008,0.0028461002628835,0.0024962061580794,1.1401703555900575,0.2542153352241683,0.002564275099855,0.0086435173230865,0.2966703257487543,0.7667182142290052,0.75,False,1.0,False
migration_alpha,3,velocity_log_odds,raw_migration,71,25254,0.00493030425344,0.0024111766170639,2.0447710957995366,0.0408774306373363,0.0171900659436122,0.012158615361298,1.4138177278253024,0.1574154270386962,0.75,False,0.4496517370106994,False
migration_alpha,3,viability_log_odds,static_viability,93,32580,0.0039167278315514,0.0024673594885181,1.5874167707534694,0.1124182834461541,0.0010852989451146,0.007691459844135,0.1411044154306003,0.8877874555452485,0.75,False,1.0,False
migration_alpha,6,migration_surprise,migration_surprise,67,24008,0.0046578510721909,0.004388514616342,1.0613730337927882,0.2885204068795841,0.0003736157731632,0.0122074866028456,0.0306054624771104,0.9755841857652474,1.0,True,1.0,False
migration_alpha,6,velocity_log_odds,raw_migration,71,25254,0.0065719384613827,0.0045263473662806,1.4519297635751218,0.146521135688717,0.0280720998219778,0.0178581947863376,1.571944989840428,0.1159633094620332,0.75,False,1.0,False
migration_alpha,6,viability_log_odds,static_viability,93,32580,0.0060828511391683,0.0032683316296665,1.861148692487157,0.0627231815718949,0.0073583505650274,0.0093226599136206,0.7892973285742954,0.4299382476377777,1.0,False,0.6272318157189494,False
migration_alpha,12,migration_surprise,migration_surprise,67,24008,0.007207351604189,0.0060364800353393,1.1939659473724784,0.2324912887393556,0.0016993305356072,0.0141371339604178,0.1202033269519235,0.9043220823605262,0.75,False,1.0,False
migration_alpha,12,velocity_log_odds,raw_migration,71,25254,0.0055032576820396,0.0058896666548665,0.9343920470426592,0.3501016986408992,0.0209060132935173,0.0153680604337715,1.360354703419574,0.173717705217245,0.75,False,1.0,False
migration_alpha,12,viability_log_odds,static_viability,93,32580,0.0138251214196802,0.0046140378742247,2.996317281423091,0.0027326194754364,0.0271616044001299,0.0103448511615314,2.6256157750373093,0.0086492389183435,1.0,False,0.0327914337052369,True
regime_shift,1,migration_surprise,migration_surprise,69,23740,-0.0006712425230843,0.0018222878042183,-0.3683515422374877,0.7126111248324454,-0.0002547184020972,0.0103394841071609,-0.024635504001681,0.980345699788428,0.5,False,1.0,False
regime_shift,1,velocity_log_odds,raw_migration,73,24928,-0.0002707846879999,0.0014353840222722,-0.1886496462258852,0.8503674193079169,0.0037531503866173,0.012134477991083,0.3092964023153977,0.7570960674332987,0.5,False,1.0,False
regime_shift,1,viability_log_odds,static_viability,92,32086,0.0004253425623141,0.0012865227084938,0.3306141115939759,0.7409359856121098,0.0047518287846955,0.0095143677348318,0.4994371583199591,0.6174714472817971,0.75,False,1.0,False
regime_shift,3,migration_surprise,migration_surprise,69,23740,-0.0029597423308814,0.0046906884890231,-0.6309824960253885,0.5280519695363002,0.0111882002524664,0.0133966721196255,0.8351477256860134,0.4036345379794051,0.25,False,1.0,False
regime_shift,3,velocity_log_odds,raw_migration,73,24928,0.0007774684895061,0.0026388917228324,0.2946193217324107,0.7682847003849853,0.0232043471000135,0.0128100448261527,1.8114181031310723,0.0700761557787701,0.5,False,1.0,False
regime_shift,3,viability_log_odds,static_viability,92,32086,0.0035280116861609,0.002439175332814,1.4463952790514112,0.1480663652401034,0.0073037572635893,0.0129702618670574,0.5631156362493954,0.5733561447442512,0.5,False,1.0,False
regime_shift,6,migration_surprise,migration_surprise,69,23740,0.0014787885922271,0.0047690826113242,0.3100782084830668,0.7565014832241227,0.013228454772661,0.0113607177490343,1.1644030830521683,0.2442606987630129,0.75,True,1.0,False
regime_shift,6,velocity_log_odds,raw_migration,73,24928,0.0040290274292316,0.0028000756480357,1.4388994926112078,0.1501790013172807,0.0159158879114115,0.0108020208491032,1.473417625622608,0.1406384605224371,0.75,False,1.0,False
regime_shift,6,viability_log_odds,static_viability,92,32086,0.0071872911016313,0.0028479633027423,2.523660011598724,0.0116140191849879,0.0151947305806771,0.0095104037315359,1.597695640437672,0.110110729473184,0.75,False,0.1393682302198554,False
regime_shift,12,migration_surprise,migration_surprise,69,23740,0.0039625234009008,0.003705965873844,1.0692282486645448,0.2849668327570156,0.0134059464263368,0.0064551876511952,2.076770986487833,0.0378227012503173,1.0,False,1.0,False
regime_shift,12,velocity_log_odds,raw_migration,73,24928,0.0068178426180817,0.0034322113969224,1.9864285236611907,0.0469857620568842,0.0223553502314425,0.0069262792517815,3.227613184335942,0.0012482764671237,1.0,False,0.5168433826257262,False
regime_shift,12,viability_log_odds,static_viability,92,32086,0.0028335335628438,0.0039516994565024,0.7170417674809064,0.4733483252106784,0.0071338846583727,0.0106967152053862,0.6669229311425043,0.5048213627292053,0.5,False,1.0,False
