scenario,horizon_months,signal,signal_label,weighting,industry_neutral,characteristic,weighted_long_short_exposure,observations
null_alpha,1,migration_surprise,migration_surprise,equal,False,log_market_cap,0.2412614825090214,9644
null_alpha,1,migration_surprise,migration_surprise,equal,False,book_to_market,-0.3060384537964717,9644
null_alpha,1,migration_surprise,migration_surprise,equal,False,momentum_12_2,-0.0063400095582122,9473
null_alpha,1,migration_surprise,migration_surprise,equal,False,operating_margin,-0.017414535389971,9644
null_alpha,1,migration_surprise,migration_surprise,equal,False,asset_growth,-0.06073583481611,9644
null_alpha,1,migration_surprise,migration_surprise,equal,False,book_leverage,0.0088527187494251,9644
null_alpha,1,migration_surprise,migration_surprise,equal,False,working_capital_assets,0.001541444041206,9644
null_alpha,1,migration_surprise,migration_surprise,equal,False,operating_income_assets,-0.0224113645706187,9644
null_alpha,1,migration_surprise,migration_surprise,equal,False,equity_to_liabilities,-0.0550265806381922,9644
null_alpha,1,migration_surprise,migration_surprise,equal,False,sales_to_assets,-0.0396997296568941,9644
null_alpha,1,migration_surprise,migration_surprise,equal,False,log_dollar_volume_12m,0.2371607914000468,9644
null_alpha,1,migration_surprise,migration_surprise,equal,False,realized_volatility_12m,-0.0007342321413603,9644
null_alpha,1,migration_surprise,migration_surprise,equal,False,equity_beta_24m,-0.0797507737072577,9197
null_alpha,1,migration_surprise,migration_surprise,equal,True,log_market_cap,0.2863888774753311,9618
null_alpha,1,migration_surprise,migration_surprise,equal,True,book_to_market,-0.5039483688393801,9618
null_alpha,1,migration_surprise,migration_surprise,equal,True,momentum_12_2,-0.004107977530531,9438
null_alpha,1,migration_surprise,migration_surprise,equal,True,operating_margin,-0.0174413884233085,9618
null_alpha,1,migration_surprise,migration_surprise,equal,True,asset_growth,-0.0624971694245009,9618
null_alpha,1,migration_surprise,migration_surprise,equal,True,book_leverage,0.0100650275930548,9618
null_alpha,1,migration_surprise,migration_surprise,equal,True,working_capital_assets,0.0030283647667345,9618
null_alpha,1,migration_surprise,migration_surprise,equal,True,operating_income_assets,-0.0233238879078335,9618
null_alpha,1,migration_surprise,migration_surprise,equal,True,equity_to_liabilities,-0.0604000634465721,9618
null_alpha,1,migration_surprise,migration_surprise,equal,True,sales_to_assets,-0.0451451635803552,9618
null_alpha,1,migration_surprise,migration_surprise,equal,True,log_dollar_volume_12m,0.2808605209558313,9618
null_alpha,1,migration_surprise,migration_surprise,equal,True,realized_volatility_12m,-0.0003281880721714,9618
null_alpha,1,migration_surprise,migration_surprise,equal,True,equity_beta_24m,-0.0745294908430687,9151
null_alpha,1,migration_surprise,migration_surprise,value,False,log_market_cap,0.4270180564085796,9644
null_alpha,1,migration_surprise,migration_surprise,value,False,book_to_market,0.0006900820982138,9644
null_alpha,1,migration_surprise,migration_surprise,value,False,momentum_12_2,0.0139399495894993,9473
