scenario,horizon_months,target_status,events
null_alpha,1,complete,32765
null_alpha,1,complete_after_delist,14
null_alpha,1,missing_return_path,2
null_alpha,3,complete,32635
null_alpha,3,complete_after_delist,144
null_alpha,3,missing_return_path,2
null_alpha,6,complete,32375
null_alpha,6,complete_after_delist,404
null_alpha,6,missing_return_path,2
null_alpha,12,complete,32199
null_alpha,12,complete_after_delist,580
null_alpha,12,missing_return_path,2
migration_alpha,1,complete,32748
migration_alpha,1,complete_after_delist,22
migration_alpha,3,complete,32629
migration_alpha,3,complete_after_delist,141
migration_alpha,6,complete,32404
migration_alpha,6,complete_after_delist,366
migration_alpha,12,complete,32232
migration_alpha,12,complete_after_delist,538
regime_shift,1,complete,32276
regime_shift,1,complete_after_delist,29
regime_shift,3,complete,32156
regime_shift,3,complete_after_delist,149
regime_shift,6,complete,31907
regime_shift,6,complete_after_delist,398
regime_shift,12,complete,31753
regime_shift,12,complete_after_delist,552
