scenario,horizon_months,signal,signal_label,weighting,industry_neutral,assignment_rows,unique_events,mean_capacity_fill_ratio,median_capacity_fill_ratio,capacity_capped_rows,short_assignment_rows,short_unavailable_rows,median_half_spread,median_adv_millions,median_market_cap_millions
null_alpha,6,migration_surprise,migration_surprise,equal,False,9644,9644,0.9852359342304896,1.0,385,4830,50,0.0046796419102691,5.04355608662814,942.123173105507
null_alpha,6,migration_surprise,migration_surprise,equal,True,9618,9618,0.9814959112511668,1.0,402,4818,53,0.0046843496712285,4.961968263648398,939.8649294594368
null_alpha,6,migration_surprise,migration_surprise,value,False,9644,9644,0.9812094290459404,1.0,327,4830,50,0.0046796419102691,5.04355608662814,942.123173105507
null_alpha,6,migration_surprise,migration_surprise,value,True,9618,9618,0.979024607479184,1.0,375,4818,53,0.0046843496712285,4.961968263648398,939.8649294594368
null_alpha,6,velocity_log_odds,raw_migration,equal,False,10157,10157,0.9863927564874098,1.0,406,5087,38,0.0046884876112594,4.815948399056786,921.878409257564
null_alpha,6,velocity_log_odds,raw_migration,equal,True,10128,10128,0.982393728752569,1.0,416,5074,38,0.0046942075164033,4.783394989609193,912.3792947794086
null_alpha,6,velocity_log_odds,raw_migration,value,False,10157,10157,0.9817285408779672,1.0,324,5087,38,0.0046884876112594,4.815948399056786,921.878409257564
null_alpha,6,velocity_log_odds,raw_migration,value,True,10128,10128,0.9805451897000116,1.0,360,5074,38,0.0046942075164033,4.783394989609193,912.3792947794086
null_alpha,6,viability_log_odds,static_viability,equal,False,13089,13089,0.9863775405057762,1.0,535,6555,51,0.0046920440220268,4.52237917389035,850.3822369351535
null_alpha,6,viability_log_odds,static_viability,equal,True,13053,13053,0.9815899260927952,1.0,598,6540,56,0.0046905100918213,4.557635903869467,863.264773235928
null_alpha,6,viability_log_odds,static_viability,value,False,13089,13089,0.9812555736612736,1.0,445,6555,51,0.0046920440220268,4.52237917389035,850.3822369351535
null_alpha,6,viability_log_odds,static_viability,value,True,13053,13053,0.9792912145019178,1.0,493,6540,56,0.0046905100918213,4.557635903869467,863.264773235928
migration_alpha,6,migration_surprise,migration_surprise,equal,False,9646,9646,0.9847090126095625,1.0,354,4827,55,0.0047435927743289,3.729886609108677,694.5170713858195
migration_alpha,6,migration_surprise,migration_surprise,equal,True,9627,9627,0.981025687335674,1.0,370,4825,55,0.0047445683314285,3.664068803786853,686.0376614109239
migration_alpha,6,migration_surprise,migration_surprise,value,False,9646,9646,0.9812412921891566,1.0,334,4827,55,0.0047435927743289,3.729886609108677,694.5170713858195
migration_alpha,6,migration_surprise,migration_surprise,value,True,9627,9627,0.9802063448157662,1.0,370,4825,55,0.0047445683314285,3.664068803786853,686.0376614109239
migration_alpha,6,velocity_log_odds,raw_migration,equal,False,10145,10145,0.9840000724061876,1.0,374,5077,62,0.004762232771748,3.520291198531696,653.688998675957
migration_alpha,6,velocity_log_odds,raw_migration,equal,True,10126,10126,0.9810097913025968,1.0,390,5076,58,0.004761823339087,3.527211331256348,656.6245383751706
migration_alpha,6,velocity_log_odds,raw_migration,value,False,10145,10145,0.9810940955003956,1.0,350,5077,62,0.004762232771748,3.520291198531696,653.688998675957
migration_alpha,6,velocity_log_odds,raw_migration,value,True,10126,10126,0.980353158242232,1.0,373,5076,58,0.004761823339087,3.527211331256348,656.6245383751706
migration_alpha,6,viability_log_odds,static_viability,equal,False,13086,13086,0.9832943854755636,1.0,513,6551,74,0.0047684538189303,3.467703290969526,644.0241251783006
migration_alpha,6,viability_log_odds,static_viability,equal,True,13066,13066,0.9800878087413644,1.0,546,6552,68,0.0047659544571007,3.519191530311182,653.1852033597452
migration_alpha,6,viability_log_odds,static_viability,value,False,13086,13086,0.9805223944862422,1.0,448,6551,74,0.0047684538189303,3.467703290969526,644.0241251783006
migration_alpha,6,viability_log_odds,static_viability,value,True,13066,13066,0.9802645694876888,1.0,491,6552,68,0.0047659544571007,3.519191530311182,653.1852033597452
regime_shift,6,migration_surprise,migration_surprise,equal,False,9542,9542,0.9854375984016168,1.0,415,4776,44,0.0047295169409585,4.070775017396194,751.4318816113688
regime_shift,6,migration_surprise,migration_surprise,equal,True,9520,9520,0.9819138465628896,1.0,410,4771,46,0.004732219981802,4.074440271788086,754.7300133902362
regime_shift,6,migration_surprise,migration_surprise,value,False,9542,9542,0.9808568334128008,1.0,353,4776,44,0.0047295169409585,4.070775017396194,751.4318816113688
regime_shift,6,migration_surprise,migration_surprise,value,True,9520,9520,0.9797734317903086,1.0,372,4771,46,0.004732219981802,4.074440271788086,754.7300133902362
regime_shift,6,velocity_log_odds,raw_migration,equal,False,10019,10019,0.98517745778247,1.0,434,5015,49,0.0047440908812641,3.85979701227522,728.513155039264
regime_shift,6,velocity_log_odds,raw_migration,equal,True,9998,9998,0.9817369763968602,1.0,425,5011,51,0.0047414381998813,3.830708589934797,726.8533229889663
regime_shift,6,velocity_log_odds,raw_migration,value,False,10019,10019,0.9807749194406568,1.0,367,5015,49,0.0047440908812641,3.85979701227522,728.513155039264
