scenario,archetype,sample_role,observations,firms,noise_or_unassigned,mean_assignment_confidence,observed_five_year_labels,five_year_failure_rate,viability_observations,mean_oos_viability_level,valid_six_month_returns,mean_six_month_excess_return,mean_anchored_demand_strength_pricing_power,median_anchored_demand_strength_pricing_power,mean_anchored_competitive_defensibility,median_anchored_competitive_defensibility,mean_anchored_innovation_intensity,median_anchored_innovation_intensity,mean_anchored_go_to_market_efficiency,median_anchored_go_to_market_efficiency,mean_anchored_unit_economics_profit_quality,median_anchored_unit_economics_profit_quality,mean_anchored_scalability_capital_efficiency,median_anchored_scalability_capital_efficiency
null_alpha,Archetype A,out_of_sample,2037,1050,False,0.2218721160004934,1455,0.0336769759450171,1527,0.964246362556287,1527,0.0460338132903671,0.0013213609709826,0.007753165360281,-0.8398674289742443,-0.8461460131356835,0.0778052734085511,0.0912772666729529,0.0316820522966498,0.0208665101080206,0.0022551279198697,0.0039534959871306,-0.0060438779092815,-0.0069172643000227
null_alpha,Archetype A,training_period,625,535,False,0.3317157496088877,594,0.0303030303030303,82,0.9731770645029352,82,0.0887747376682192,-0.0145380002354123,0.0184234441749601,-0.8951806412003386,-0.9003927875272107,-0.1835372254242495,-0.186657760072025,-0.0704011531460118,-0.1206638711215821,0.050058652010446,0.0968492273618352,-0.0198645335130835,0.0210032844675179
null_alpha,Archetype B,out_of_sample,269,258,False,0.4113990883161701,204,0.0441176470588235,218,0.9651080231885548,218,0.0167612322219246,0.0058762630009534,-0.0097957123763975,-0.8638739131262643,-0.8681881659533071,-1.5186417422475214,-1.6806325076320072,0.0700247010415901,0.0719631889535274,-0.0542326082029439,-0.0067776890680788,-0.028401449108992,-0.065247000629171
null_alpha,Archetype B,training_period,259,259,False,0.979887274847638,249,0.036144578313253,70,0.9740538430941004,70,0.0524904434596976,-0.2642705780773554,-0.2642705780773554,-0.8720346659152922,-0.8782570995069703,-1.45737352069657,-1.491065944676969,-0.1622698627098865,-0.1622698627098865,0.1919513924920454,0.1919513924920454,0.1224937898727201,0.1224937898727201
null_alpha,Noise / Unassigned,out_of_sample,32332,2588,True,0.0,21726,0.0424836601307189,22680,0.9658818816201372,22678,0.0401928161933395,-0.0156633522896308,0.0099365899651573,-0.3491142980051557,-0.6602846255983832,0.073184233302424,0.1416780810569079,0.0739059652668663,-0.0079011417524094,0.0267366763321991,-0.0199940889217798,-0.0003419003930144,-0.0048089440612517
null_alpha,Noise / Unassigned,training_period,24399,1828,True,0.0,23190,0.0319965502371711,8204,0.9724963540577216,8204,0.0966137173936634,-0.0356154751883741,-0.0202040395742407,-0.6881278495094206,-0.8221645006372695,0.0776720561135628,0.134467279431068,0.093052687944624,0.0211795925493113,0.0745352139983394,0.030285919028641,0.0176839634815135,0.0050212484328456
migration_alpha,Archetype A,out_of_sample,296,271,False,0.3164637224051707,190,0.0473684210526315,197,0.9667549769270736,197,0.0774476604312704,-0.0243082607997585,-0.0387337438708061,-1.074299123476373,-1.0803721212197317,-0.3911793791826207,-0.3821573517405593,0.0091149498957721,0.0165330469296166,-0.0061265018483864,0.0225910732500171,-0.050570171993382,-0.0721730803795333
migration_alpha,Archetype A,training_period,238,238,False,0.9942783356511384,228,0.0263157894736842,62,0.96315528917991,62,0.0217274404704103,,,-1.0435750859613009,-1.0684004202508324,-0.3706379433504007,-0.3686132324790927,,,,,,
migration_alpha,Archetype B,out_of_sample,138,137,False,0.3523020694377271,96,0.0625,101,0.9679622092115696,101,0.0735535572558789,0.0252587781927642,0.0252587781927642,-1.0159151342478467,-1.0145956036113335,-1.5995309910268902,-1.6774440972934697,-0.021051317672562,0.03323382981804,-0.1862256574388382,-0.2548311512922563,0.216652295420637,0.1928848599677211
migration_alpha,Archetype B,training_period,235,235,False,0.9879606555750082,225,0.0311111111111111,66,0.9657337372383044,66,0.1150856288535222,,,-0.983082898361516,-0.9915662154927962,-1.501713924117771,-1.5276304200155577,,,,,,
migration_alpha,Archetype C,out_of_sample,25,25,False,0.2801488178881201,24,0.0,25,0.9641450263056108,25,-0.007062678036259,,,-0.8950450277940916,-0.9107306993406846,0.1200423525030774,0.0690078443983969,,,,,,
migration_alpha,Archetype C,training_period,215,156,False,0.9977841578446778,195,0.041025641025641,5,0.9591219239672696,5,0.0819988245978462,,,-0.879349585398161,-0.8732647907307828,-0.0336393478342703,-0.0406524832453212,,,,,,
migration_alpha,Noise / Unassigned,out_of_sample,34164,2591,True,0.0,23204,0.0451215307705568,24140,0.962960188909553,24140,0.0388468884574707,-0.0247972822971514,-0.0039447057038541,-0.67480444787717,-0.6979295088648362,0.0928253958405616,0.1487912241850896,0.076351180723549,0.0028233395222156,0.0710086052815029,0.0331016150039295,0.0358813496866242,0.0307827203180863
migration_alpha,Noise / Unassigned,training_period,23591,1847,True,0.0,22532,0.0364370672820877,8174,0.9629194627325508,8174,0.0584672784675488,-0.0333279291566393,-0.0114977198901092,-0.8054535963206471,-0.8815444642481887,0.1257385155990502,0.172927770662395,0.0649542535417992,-0.0027793012133618,0.030282380253999,-0.0219333172114901,-0.0177148154406197,-0.0334936006730069
regime_shift,Archetype A,out_of_sample,1439,986,False,0.2177203472641358,1030,0.045631067961165,1080,0.9656618477963016,1080,0.0527124509117221,0.0103744426960771,0.0113301591823113,-0.8768871628024456,-0.8760063059241449,-0.0293864730489643,-0.0095982460720778,0.0122751887830848,0.0160468612372022,-0.0711879492356819,-0.0741932349485594,0.0435738891179126,0.0481150515454378
regime_shift,Archetype A,training_period,680,600,False,0.7870906223574005,647,0.0432766615146831,117,0.9672977239276548,117,-0.0044764780903302,,,-0.9488022081399924,-0.9434779031756608,-0.2229840975644271,-0.2350613248872599,,,,,,
